ID,u1,u2,u3,u4,u5,u6
0,0,0,0,0,0,0.45
1,0,0,0,0,0,0.35
2,0,0,0,0,0,-0.35
3,0,0,0,0,0,-0.45
4,0.45,0,0,0,0,0
5,0.35,0,0,0,0,0
6,-0.35,0,0,0,0,0
7,-0.45,0,0,0,0,0
8,0,0.55,0,0,0,0
9,0,0.4,0,0,0,0
10,0,-0.4,0,0,0,0
11,0,-0.55,0,0,0,0
12,0,0,0,0,0.45,0
13,0,0,0,0,0.35,0
14,0,0,0,0,-0.35,0
15,0,0,0,0,-0.45,0
16,0.45,0,0,0,0.4,0
17,-0.4,0,0,0,-0.4,0
18,0,0.4,0,0,0,0.45
19,0,-0.4,0,0,0,-0.45
20,0,0,0.55,0,0,0
21,0,0,-0.55,0,0,0
22,0,0,0,0.55,0,0
23,0,0,0,-0.55,0,0
24,0.35,0,0,0,0,0.35
25,-0.35,0,0,0,0,-0.35
26,0.35,0,0,0,0,-0.35
27,-0.35,0,0,0,0,-0.35
28,0,0.45,0,0,0,0.45
29,0,-0.45,0,0,0,0.45
30,0,0.45,0,0,0,-0.45
31,0,-0.45,0,0,0,-0.45
32,0,0,0.45,0.45,0,0
33,0,0,-0.45,0.45,0,0
34,0,0,0.45,-0.45,0,0
35,0,0,-0.45,-0.45,0,0
